No,Company Name,Ticker,Sector,Initial Price ($)
1,Alpha Electric,ALEL,Technology,207.05
2,Eagle Systems,EASY,Technology,270.82
3,Swift Solutions,SWSO,Real Estate,442.39
4,Global Technologies,GLTE,Communications,303.16
5,Spark Capital,SPCA,Healthcare,196.14
6,Eagle Health,EAHE,Utilities,441.43
7,Pinnacle Biosciences,PIBI,Energy,155.52
8,Alpha Enterprises,ALEN,Energy,25.8
9,Vertex Dynamics,VEDY,Finance,490.46
10,Apex Dynamics,APDY,Consumer Goods,279.24
11,Golden Inc,GOIN,Industrial,43.87
12,Horizon Realty,HORE,Consumer Goods,335.83
13,Quantum Systems,QUSY,Industrial,241.77
14,Summit Electric,SUEL,Real Estate,108.56
15,Elite Labs,ELLA,Utilities,61.72
16,Star Foods,STFO,Materials,328.51
17,Quantum Corp,QUCO,Technology,21.24
18,First Labs,FILA,Consumer Goods,245.77
19,Horizon Systems,HOSY,Real Estate,388.5
20,Delta Media,DEME,Materials,54.26
21,Delta Labs,DELA,Real Estate,171.51
22,Pacific Technologies,PATE,Communications,184.01
23,Vanguard Biosciences,VABI,Consumer Goods,149.92
24,Vanguard Logistics,VALO,Technology,74.78
25,Atlantic Systems,ATSY,Materials,486.87
26,Quantum Brands,QUBR,Real Estate,426.16
27,Royal Enterprises,ROEN,Real Estate,390.6
28,Vanguard Dynamics,VADY,Real Estate,61.84
29,Pacific Inc,PAIN,Healthcare,269.07
30,Zenith Group,ZEGR,Healthcare,228.51
31,Elite Logistics,ELLO,Finance,469.67
32,Vanguard Development,VADE,Consumer Goods,417.02
33,Quantum Foods,QUFO,Technology,233.31
34,Delta Resources,DERE,Technology,319.41
35,General Capital,GECA,Consumer Goods,110.91
36,Noble Logistics,NOLO,Industrial,429.13
37,Noble Industries,NOIN,Healthcare,47.14
38,Horizon Ventures,HOVE,Healthcare,386.38
39,Quantum Media,QUME,Finance,169.26
40,Sigma Properties,SIPR,Energy,429.93
41,Prime Media,PRME,Energy,377.73
42,Star Trust,STTR,Technology,331.38
43,Vanguard Electric,VAEL,Technology,128.62
44,Nova Corp,NOCO,Healthcare,230.27
45,Next Mining,NEMI,Finance,109.29
46,North Labs,NOLA,Real Estate,56.91
47,Liberty Technologies,LITE,Industrial,223.3
48,North Mining,NOMI,Utilities,305.67
49,Apex Health,APHE,Energy,374.95
50,Silver Energy,SIEN,Industrial,369.68
51,Star Motors,STMO,Consumer Goods,67.68
52,Global Networks,GLNE,Real Estate,311.18
53,Eagle Development,EADE,Finance,255.14
54,United Communications,UNCO,Materials,202.12
55,Silver Health,SIHE,Real Estate,315.08
56,Liberty Materials,LIMA,Healthcare,116.69
57,Vanguard Inc,VAIN,Materials,270.53
58,Fusion Brands,FUBR,Finance,244.0
59,Silver Brands,SIBR,Technology,224.1
60,Pinnacle Development,PIDE,Energy,488.84
61,United Ventures,UNVE,Utilities,187.29
62,Grand Resources,GRRE,Finance,427.25
63,Matrix Systems,MASY,Healthcare,138.6
64,Blue Mining,BLMI,Industrial,197.11
65,Global Realty,GLRE,Consumer Goods,132.29
66,North Corp,NORX,Materials,325.11
67,Vertex Technologies,VETE,Healthcare,65.53
68,Alpha Solutions,ALSO,Materials,340.81
69,Bright Electric,BREL,Technology,190.56
70,Star Media,STME,Healthcare,484.8
71,Bright Networks,BRNE,Materials,328.02
72,Liberty Properties,LIPR,Utilities,377.86
73,Vertex Inc,VEIN,Materials,66.92
74,Swift Labs,SWLA,Healthcare,308.02
75,Spark Development,SPDE,Finance,49.26
76,North Biosciences,NOBI,Real Estate,28.46
77,Vanguard Brands,VABR,Real Estate,205.22
78,Spark Foods,SPFO,Finance,146.71
79,Apex Systems,APSY,Communications,474.33
80,Noble Enterprises,NOEN,Finance,404.42
81,Blue Motors,BLMO,Industrial,120.9
82,Fusion Systems,FUSY,Industrial,116.6
83,Noble Inc,NOBX,Energy,279.02
84,Liberty Systems,LISY,Industrial,59.19
85,Atlantic Group,ATGR,Communications,45.82
86,Core Financial,COFI,Consumer Goods,489.06
87,Nova Ventures,NOVE,Healthcare,298.73
88,Silver Electric,SIEL,Energy,123.68
89,Summit Dynamics,SUDY,Healthcare,119.02
90,Spark Partners,SPPA,Energy,362.95
91,Royal Realty,RORE,Real Estate,394.45
92,Vertex Biosciences,VEBI,Consumer Goods,492.33
93,Global Labs,GLLA,Technology,413.92
94,Next Technologies,NETE,Utilities,408.94
95,Omega Inc,OMIN,Materials,61.26
96,Pacific Realty,PARE,Materials,241.34
97,Elite Mining,ELMI,Communications,18.02
98,United Media,UNME,Healthcare,276.96
99,Horizon Resources,HORX,Consumer Goods,80.75
100,Vertex Group,VEGR,Finance,80.45
